,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
2945,ITRM,1.56,1.51,1.4,1.3,1.25,True,0.65,2.3,84.13,True,True,True,True,True,True,False,True,False
2946,ITRN,26.11,26.82,26.65,27.02,26.75,True,20.41,30.28,86.51,False,False,True,False,False,False,True,True,False
2947,ITT,129.46,128.22,115.07,111.0,107.15,True,76.16,137.08,107.14,True,True,True,True,True,True,True,True,True
2948,ITUB,6.28,6.72,6.34,6.17,6.12,True,4.91,7.23,83.33,False,True,True,True,False,False,True,True,False
2949,ITW,251.33,260.12,249.36,248.47,247.24,True,218.73,270.33,94.44,True,True,True,True,False,False,True,True,False
2950,IVA,3.28,3.67,3.93,3.91,3.96,True,2.42,4.88,76.19,False,True,True,False,False,True,False,True,False
2951,IVAC,3.67,3.83,3.81,3.73,3.74,False,3.11,6.45,72.22,False,True,False,True,False,False,False,True,False
2952,IVCA,11.24,11.16,11.02,10.94,10.89,True,10.56,11.31,94.44,True,True,True,True,True,False,True,True,False
2953,IVCB,11.33,11.22,11.06,10.99,10.93,True,10.51,11.33,98.41,True,True,True,True,True,False,True,True,False
2954,IVCP,10.81,10.89,10.75,10.69,10.65,True,10.22,12.2,84.13,True,True,True,True,False,False,True,True,False
2955,IVDA,0.92,0.85,0.75,0.8,0.83,False,0.56,1.32,65.87,True,False,False,False,True,True,False,False,False
2956,IVR,8.57,8.91,8.67,9.31,9.55,False,6.39,12.24,83.33,False,False,False,False,False,True,False,True,False
2957,IVT,25.42,24.93,24.95,24.72,24.59,True,20.92,26.8,83.33,True,True,True,False,True,False,True,True,False
2958,IVVD,2.33,3.58,2.92,2.59,2.4,True,1.05,5.04,68.25,False,True,True,True,False,True,False,False,False
2959,IVZ,14.75,15.74,15.3,15.55,15.61,True,12.52,18.4,85.71,False,False,True,False,False,False,True,True,False
2960,IX,104.19,105.78,97.22,96.15,94.72,True,83.4,112.62,87.3,True,True,True,True,False,False,True,True,False
2961,IXAQ,11.34,11.19,11.06,10.98,10.91,True,10.33,11.34,94.44,True,True,True,True,True,False,True,True,False
2962,IXHL,2.3,3.69,3.01,2.67,2.57,True,0.82,8.73,66.67,False,True,True,True,False,True,False,False,False
2963,IZEA,2.42,2.17,2.18,2.21,2.23,False,1.91,3.22,82.54,True,False,False,False,True,False,True,True,False
2964,IZM,3.22,13.3,10.72,10.14,8.59,True,2.35,51.02,134.13,False,True,True,True,False,True,False,True,False
2965,J,144.85,147.36,137.49,135.73,132.91,True,109.6,153.73,92.86,True,True,True,True,False,True,True,True,False
2966,JACK,58.85,68.61,71.47,75.35,78.28,False,58.16,99.41,65.08,False,False,False,False,False,False,False,False,False
2967,JAGX,0.16,0.09,0.19,0.26,0.31,False,0.06,0.98,73.81,False,False,False,False,True,True,False,True,False
2968,JAKK,22.41,26.25,26.82,24.91,24.74,True,16.12,36.45,87.3,False,True,True,False,False,True,False,True,False
2969,JAMF,19.15,18.51,17.83,18.05,18.13,True,15.16,22.27,87.3,True,False,True,False,True,False,True,True,False
2970,JAN,5.0,2.37,1.1,1.01,0.81,True,0.3,5.0,95.24,True,True,True,True,True,True,True,True,True
2971,JANX,49.92,36.23,18.1,16.52,13.55,True,5.85,52.65,75.4,True,True,True,True,True,True,True,True,True
2972,JAZZ,109.58,119.24,122.92,125.77,126.89,False,107.1,145.31,69.84,False,False,False,False,False,False,True,False,False
2973,JBGS,15.23,16.16,15.47,15.53,15.5,True,12.81,17.98,85.71,False,False,True,False,False,False,True,True,False
2974,JBHT,168.66,196.44,192.05,192.42,191.57,True,164.2,218.78,78.57,False,False,True,False,False,False,True,True,False
2975,JBI,15.32,14.81,12.69,12.3,11.84,True,8.81,15.42,108.73,True,True,True,True,True,True,True,True,True
2976,JBK,26.39,25.87,25.24,25.22,25.13,True,23.76,26.8,79.37,True,True,True,True,True,False,True,True,False
2977,JBL,120.21,137.36,129.73,124.59,121.88,True,75.74,154.53,107.14,False,True,True,True,False,True,True,True,False
2978,JBLU,6.26,6.92,5.54,5.85,5.98,False,3.69,9.33,74.6,True,False,False,False,False,True,False,True,False
2979,JBSS,99.64,101.92,100.41,101.71,103.64,False,91.13,125.82,72.22,False,False,False,False,False,False,True,True,False
2980,JBT,91.91,99.27,101.06,103.95,106.2,False,89.71,123.61,76.19,False,False,False,False,False,False,False,True,False
2981,JCE,13.85,13.78,13.21,13.13,13.02,True,11.65,14.27,88.89,True,True,True,True,True,False,True,True,False
2982,JCI,65.36,62.1,56.37,57.9,58.01,True,48.1,70.03,103.17,True,False,True,False,True,True,True,True,False
2983,JCSE,0.71,0.76,0.91,1.05,1.14,False,0.63,2.4,78.57,False,False,False,False,False,False,False,True,False
2984,JCTCF,5.05,5.36,5.13,5.02,4.95,True,3.8,6.14,80.95,False,True,True,True,False,True,True,True,False
2985,JD,27.57,25.45,26.1,28.51,29.44,False,21.44,41.31,78.57,False,False,False,False,True,False,False,True,False
2986,JEF,44.51,42.88,38.89,38.13,37.12,True,29.08,46.13,85.71,True,True,True,True,True,True,True,True,True
2987,JELD,19.16,19.19,16.88,16.66,16.33,True,11.04,21.42,85.71,True,True,True,True,False,True,True,True,False
2988,JEQ,5.87,6.11,5.71,5.73,5.74,True,5.07,6.34,96.03,True,False,True,False,False,False,True,True,False
2989,JEWL,0.36,0.43,0.54,0.69,0.76,False,0.33,1.7,81.75,False,False,False,False,False,False,False,True,False
2990,JFBR,0.28,0.95,2.35,2.83,3.32,False,0.28,7.63,62.7,False,False,False,False,False,False,False,False,False
2991,JFIN,6.36,6.33,5.61,5.67,5.57,True,3.94,8.0,84.13,True,False,True,False,True,True,True,True,False
2992,JFR,8.66,8.63,8.29,8.23,8.15,True,7.65,8.8,94.44,True,True,True,True,True,False,True,True,False
2993,JFU,3.24,3.23,3.18,3.23,3.27,False,2.27,5.28,80.16,True,False,False,False,True,True,False,True,False
2994,JG,3.01,3.11,2.87,3.24,3.44,False,1.9,8.4,66.67,False,False,False,False,False,True,False,False,False
2995,JGH,12.44,12.62,11.93,11.83,11.69,True,10.4,12.98,88.1,True,True,True,True,False,False,True,True,False
2996,JHG,32.0,31.62,28.46,28.24,27.81,True,22.27,33.17,99.21,True,True,True,True,True,True,True,True,True
2997,JHI,13.22,13.12,12.75,12.75,12.7,True,11.67,13.32,94.44,True,False,True,False,True,False,True,True,False
2998,JHS,11.05,10.9,10.65,10.67,10.66,True,9.76,11.2,92.86,True,False,True,False,True,False,True,True,False
2999,JHX,35.6,38.56,34.07,32.73,31.69,True,21.79,41.55,94.44,True,True,True,True,False,True,True,True,False
3000,JILL,26.08,26.77,27.04,26.03,25.31,True,18.89,32.55,98.41,False,True,True,False,False,True,True,True,False
3001,JJSF,137.23,141.83,155.19,157.55,159.3,False,134.22,177.17,70.63,False,False,False,False,False,False,True,True,False
3002,JKHY,167.44,171.08,161.59,161.98,161.48,True,138.1,175.95,92.86,True,False,True,False,False,False,True,True,False
3003,JKS,23.15,25.24,29.05,30.96,32.84,False,21.56,49.61,65.08,False,False,False,False,False,False,False,False,False
3004,JLL,182.78,186.11,167.12,167.18,163.96,True,121.97,198.34,82.54,True,False,True,False,False,True,True,True,False
3005,JLS,17.46,17.43,16.8,16.68,16.54,True,15.51,17.88,87.3,True,True,True,True,True,False,True,True,False
3006,JMIA,4.67,5.28,3.76,3.72,3.61,True,2.29,7.1,75.4,True,True,True,True,False,True,False,True,False
3007,JMM,5.89,5.97,5.8,5.81,5.79,True,5.36,6.1,85.71,True,False,True,False,False,False,True,True,False
3008,JMSB,17.2,17.54,18.72,18.76,19.09,False,15.51,24.49,80.95,False,False,False,False,False,False,False,True,False
3009,JNJ,150.35,155.84,155.74,158.37,159.49,False,144.45,174.48,78.57,False,False,False,False,False,False,True,True,False
3010,JNPR,35.88,36.91,32.21,31.35,30.81,True,24.96,37.75,80.95,True,True,True,True,False,True,True,True,False
3011,JOB,0.32,0.36,0.47,0.49,0.5,False,0.32,0.62,72.22,False,False,False,False,False,False,False,True,False
3012,JOBY,4.92,5.27,5.82,6.36,6.67,False,3.76,10.69,80.16,False,False,False,False,False,True,False,True,False
3013,JOE,56.94,55.1,54.31,55.44,54.47,True,40.18,64.56,85.71,True,False,True,False,True,True,True,True,False
3014,JOF,7.66,7.79,7.44,7.41,7.37,True,6.68,8.03,89.68,True,True,True,True,False,False,True,True,False
3015,JOUT,42.56,44.39,48.32,50.55,52.05,False,42.31,64.24,73.81,False,False,False,False,False,False,False,True,False
3016,JPC,6.99,7.09,6.73,6.67,6.61,True,5.96,7.3,82.54,True,True,True,True,False,False,True,True,False
3017,JPI,18.96,18.89,18.03,17.84,17.63,True,16.1,19.24,93.65,True,True,True,True,True,False,True,True,False
3018,JPM,191.83,188.86,167.5,163.35,158.6,True,134.1,200.3,110.32,True,True,True,True,True,True,True,True,True
